line_id,order_id,order_date,month,customer_id,region,segment,channel,product,category,quantity,discount_pct,returned,gross_sales_cents,discount_cents,cogs_cents,net_revenue_cents,profit_cents
1,1,2025-11-05,2025-11,22,West,Consumer,Store,Storage box,Office Supplies,1,0,0,2600,0,1200,2600,1400
2,1,2025-11-05,2025-11,22,West,Consumer,Store,Notebook pack,Office Supplies,2,0,0,3600,0,1400,3600,2200
3,1,2025-11-05,2025-11,22,West,Consumer,Store,Monitor,Technology,1,0,0,24000,0,16000,24000,8000
4,2,2025-09-17,2025-09,197,South,Business,Online,Keyboard,Technology,2,10,0,13000,1300,6400,11700,5300
5,2,2025-09-17,2025-09,197,South,Business,Online,Notebook pack,Office Supplies,2,0,0,3600,0,1400,3600,2200
6,3,2024-01-06,2024-01,193,South,Consumer,Online,Chair,Furniture,5,35,1,85000,29750,0,0,0
7,3,2024-01-06,2024-01,193,South,Consumer,Online,Storage box,Office Supplies,2,0,0,5200,0,2400,5200,2800
8,4,2025-04-20,2025-04,171,East,Consumer,Store,Notebook pack,Office Supplies,4,15,0,7200,1080,2800,6120,3320
9,4,2025-04-20,2025-04,171,East,Consumer,Store,Storage box,Office Supplies,2,10,0,5200,520,2400,4680,2280
10,5,2024-09-10,2024-09,164,West,Business,Store,Keyboard,Technology,4,0,0,26000,0,12800,26000,13200
11,5,2024-09-10,2024-09,164,West,Business,Store,Chair,Furniture,2,10,0,34000,3400,22000,30600,8600
12,5,2024-09-10,2024-09,164,West,Business,Store,Monitor,Technology,5,0,0,120000,0,80000,120000,40000
13,6,2024-08-24,2024-08,99,West,Consumer,Online,Chair,Furniture,4,15,0,68000,10200,44000,57800,13800
14,6,2024-08-24,2024-08,99,West,Consumer,Online,Desk,Furniture,4,0,0,112000,0,76000,112000,36000
15,6,2024-08-24,2024-08,99,West,Consumer,Online,Keyboard,Technology,4,10,0,26000,2600,12800,23400,10600
16,7,2025-08-21,2025-08,179,East,Business,Online,Keyboard,Technology,3,5,0,19500,975,9600,18525,8925
17,7,2025-08-21,2025-08,179,East,Business,Online,Storage box,Office Supplies,4,15,0,10400,1560,4800,8840,4040
18,7,2025-08-21,2025-08,179,East,Business,Online,Desk,Furniture,5,5,0,140000,7000,95000,133000,38000
19,8,2024-10-06,2024-10,112,Central,Consumer,Store,Keyboard,Technology,3,10,0,19500,1950,9600,17550,7950
20,9,2025-04-23,2025-04,33,South,Business,Online,Notebook pack,Office Supplies,1,0,0,1800,0,700,1800,1100
21,9,2025-04-23,2025-04,33,South,Business,Online,Storage box,Office Supplies,2,10,0,5200,520,2400,4680,2280
22,10,2024-09-23,2024-09,98,Central,Business,Store,Keyboard,Technology,3,5,0,19500,975,9600,18525,8925
23,11,2025-01-23,2025-01,72,West,Business,Store,Desk,Furniture,1,0,0,28000,0,19000,28000,9000
24,11,2025-01-23,2025-01,72,West,Business,Store,Keyboard,Technology,3,0,0,19500,0,9600,19500,9900
25,12,2025-10-29,2025-10,11,East,Consumer,Online,Chair,Furniture,1,0,0,17000,0,11000,17000,6000
26,13,2025-04-29,2025-04,172,South,Business,Online,Chair,Furniture,3,0,0,51000,0,33000,51000,18000
27,13,2025-04-29,2025-04,172,South,Business,Online,Keyboard,Technology,1,0,0,6500,0,3200,6500,3300
28,13,2025-04-29,2025-04,172,South,Business,Online,Monitor,Technology,1,15,1,24000,3600,0,0,0
29,14,2024-11-15,2024-11,148,Central,Consumer,Store,Storage box,Office Supplies,1,15,0,2600,390,1200,2210,1010
30,14,2024-11-15,2024-11,148,Central,Consumer,Store,Chair,Furniture,2,0,0,34000,0,22000,34000,12000
31,15,2024-11-04,2024-11,176,East,Consumer,Online,Desk,Furniture,3,0,0,84000,0,57000,84000,27000
32,15,2024-11-04,2024-11,176,East,Consumer,Online,Monitor,Technology,3,0,0,72000,0,48000,72000,24000
33,15,2024-11-04,2024-11,176,East,Consumer,Online,Keyboard,Technology,4,0,0,26000,0,12800,26000,13200
34,16,2025-01-05,2025-01,163,Central,Business,Store,Chair,Furniture,5,10,0,85000,8500,55000,76500,21500
35,16,2025-01-05,2025-01,163,Central,Business,Store,Keyboard,Technology,5,10,0,32500,3250,16000,29250,13250
36,16,2025-01-05,2025-01,163,Central,Business,Store,Storage box,Office Supplies,5,5,0,13000,650,6000,12350,6350
37,17,2024-09-08,2024-09,23,East,Consumer,Store,Chair,Furniture,5,25,0,85000,21250,55000,63750,8750
38,17,2024-09-08,2024-09,23,East,Consumer,Store,Keyboard,Technology,4,5,0,26000,1300,12800,24700,11900
39,18,2024-08-05,2024-08,91,South,Consumer,Store,Monitor,Technology,3,15,1,72000,10800,0,0,0
40,18,2024-08-05,2024-08,91,South,Consumer,Store,Notebook pack,Office Supplies,2,0,0,3600,0,1400,3600,2200
41,19,2025-02-20,2025-02,126,West,Business,Online,Keyboard,Technology,1,0,0,6500,0,3200,6500,3300
42,19,2025-02-20,2025-02,126,West,Business,Online,Storage box,Office Supplies,4,0,0,10400,0,4800,10400,5600
43,19,2025-02-20,2025-02,126,West,Business,Online,Notebook pack,Office Supplies,5,5,0,9000,450,3500,8550,5050
44,20,2025-06-27,2025-06,89,South,Business,Store,Notebook pack,Office Supplies,4,5,0,7200,360,2800,6840,4040
45,20,2025-06-27,2025-06,89,South,Business,Store,Monitor,Technology,2,0,0,48000,0,32000,48000,16000
46,20,2025-06-27,2025-06,89,South,Business,Store,Storage box,Office Supplies,3,0,0,7800,0,3600,7800,4200
47,21,2025-12-07,2025-12,48,East,Consumer,Online,Storage box,Office Supplies,4,5,0,10400,520,4800,9880,5080
48,22,2025-06-21,2025-06,153,West,Business,Store,Chair,Furniture,3,5,0,51000,2550,33000,48450,15450
49,23,2024-11-05,2024-11,4,East,Consumer,Online,Desk,Furniture,5,10,0,140000,14000,95000,126000,31000
50,23,2024-11-05,2024-11,4,East,Consumer,Online,Storage box,Office Supplies,2,10,0,5200,520,2400,4680,2280
51,24,2024-01-13,2024-01,147,Central,Consumer,Store,Keyboard,Technology,3,0,0,19500,0,9600,19500,9900
52,24,2024-01-13,2024-01,147,Central,Consumer,Store,Storage box,Office Supplies,3,10,0,7800,780,3600,7020,3420
53,25,2024-03-07,2024-03,103,West,Business,Store,Notebook pack,Office Supplies,1,0,0,1800,0,700,1800,1100
54,26,2025-07-30,2025-07,78,West,Consumer,Online,Desk,Furniture,5,25,0,140000,35000,95000,105000,10000
55,27,2025-09-25,2025-09,58,West,Consumer,Store,Keyboard,Technology,5,10,0,32500,3250,16000,29250,13250
56,27,2025-09-25,2025-09,58,West,Consumer,Store,Monitor,Technology,5,0,0,120000,0,80000,120000,40000
57,28,2024-04-11,2024-04,196,Central,Consumer,Online,Chair,Furniture,2,5,0,34000,1700,22000,32300,10300
58,28,2024-04-11,2024-04,196,Central,Consumer,Online,Monitor,Technology,1,0,1,24000,0,0,0,0
59,28,2024-04-11,2024-04,196,Central,Consumer,Online,Desk,Furniture,4,35,0,112000,39200,76000,72800,-3200
60,29,2024-08-25,2024-08,74,South,Business,Store,Keyboard,Technology,3,15,0,19500,2925,9600,16575,6975
61,29,2024-08-25,2024-08,74,South,Business,Store,Desk,Furniture,2,25,0,56000,14000,38000,42000,4000
62,29,2024-08-25,2024-08,74,South,Business,Store,Chair,Furniture,2,0,0,34000,0,22000,34000,12000
63,30,2024-05-25,2024-05,19,South,Consumer,Online,Monitor,Technology,5,15,0,120000,18000,80000,102000,22000
64,31,2025-03-25,2025-03,32,West,Business,Store,Monitor,Technology,5,15,0,120000,18000,80000,102000,22000
65,31,2025-03-25,2025-03,32,West,Business,Store,Keyboard,Technology,1,15,1,6500,975,0,0,0
66,31,2025-03-25,2025-03,32,West,Business,Store,Storage box,Office Supplies,4,5,0,10400,520,4800,9880,5080
67,32,2024-01-27,2024-01,24,Central,Consumer,Online,Notebook pack,Office Supplies,3,15,1,5400,810,0,0,0
68,32,2024-01-27,2024-01,24,Central,Consumer,Online,Storage box,Office Supplies,2,10,0,5200,520,2400,4680,2280
69,32,2024-01-27,2024-01,24,Central,Consumer,Online,Desk,Furniture,4,10,0,112000,11200,76000,100800,24800
70,33,2025-08-22,2025-08,112,Central,Consumer,Store,Keyboard,Technology,3,10,0,19500,1950,9600,17550,7950
71,34,2025-11-17,2025-11,27,South,Business,Online,Keyboard,Technology,3,10,0,19500,1950,9600,17550,7950
72,34,2025-11-17,2025-11,27,South,Business,Online,Storage box,Office Supplies,5,0,0,13000,0,6000,13000,7000
73,35,2024-11-18,2024-11,65,West,Consumer,Store,Keyboard,Technology,5,0,0,32500,0,16000,32500,16500
74,36,2025-07-09,2025-07,119,West,Business,Store,Chair,Furniture,5,15,0,85000,12750,55000,72250,17250
75,37,2025-05-25,2025-05,161,West,Business,Store,Chair,Furniture,3,0,0,51000,0,33000,51000,18000
76,38,2025-03-24,2025-03,179,East,Business,Store,Desk,Furniture,5,5,0,140000,7000,95000,133000,38000
77,39,2024-11-14,2024-11,142,West,Business,Online,Keyboard,Technology,1,10,0,6500,650,3200,5850,2650
78,39,2024-11-14,2024-11,142,West,Business,Online,Desk,Furniture,2,35,0,56000,19600,38000,36400,-1600
79,39,2024-11-14,2024-11,142,West,Business,Online,Chair,Furniture,3,10,0,51000,5100,33000,45900,12900
80,40,2025-05-09,2025-05,121,East,Consumer,Online,Notebook pack,Office Supplies,4,0,0,7200,0,2800,7200,4400
81,40,2025-05-09,2025-05,121,East,Consumer,Online,Chair,Furniture,5,0,0,85000,0,55000,85000,30000
82,41,2024-10-09,2024-10,198,South,Business,Store,Notebook pack,Office Supplies,1,5,0,1800,90,700,1710,1010
83,41,2024-10-09,2024-10,198,South,Business,Store,Monitor,Technology,5,15,0,120000,18000,80000,102000,22000
84,42,2025-05-16,2025-05,39,Central,Consumer,Store,Keyboard,Technology,5,15,0,32500,4875,16000,27625,11625
85,42,2025-05-16,2025-05,39,Central,Consumer,Store,Monitor,Technology,3,0,0,72000,0,48000,72000,24000
86,42,2025-05-16,2025-05,39,Central,Consumer,Store,Notebook pack,Office Supplies,2,15,0,3600,540,1400,3060,1660
87,43,2025-02-24,2025-02,12,South,Business,Store,Keyboard,Technology,2,10,0,13000,1300,6400,11700,5300
88,43,2025-02-24,2025-02,12,South,Business,Store,Storage box,Office Supplies,2,15,0,5200,780,2400,4420,2020
89,43,2025-02-24,2025-02,12,South,Business,Store,Notebook pack,Office Supplies,3,0,0,5400,0,2100,5400,3300
90,44,2025-03-26,2025-03,26,South,Business,Store,Storage box,Office Supplies,2,10,0,5200,520,2400,4680,2280
91,45,2024-06-07,2024-06,20,South,Consumer,Store,Monitor,Technology,4,0,0,96000,0,64000,96000,32000
92,45,2024-06-07,2024-06,20,South,Consumer,Store,Notebook pack,Office Supplies,5,10,0,9000,900,3500,8100,4600
93,46,2025-10-03,2025-10,184,South,Consumer,Store,Desk,Furniture,2,10,0,56000,5600,38000,50400,12400
94,46,2025-10-03,2025-10,184,South,Consumer,Store,Notebook pack,Office Supplies,1,10,0,1800,180,700,1620,920
95,46,2025-10-03,2025-10,184,South,Consumer,Store,Storage box,Office Supplies,1,10,0,2600,260,1200,2340,1140
96,47,2024-11-02,2024-11,8,East,Consumer,Online,Desk,Furniture,3,15,0,84000,12600,57000,71400,14400
97,47,2024-11-02,2024-11,8,East,Consumer,Online,Monitor,Technology,2,15,0,48000,7200,32000,40800,8800
98,48,2025-11-29,2025-11,47,East,Consumer,Online,Desk,Furniture,5,25,0,140000,35000,95000,105000,10000
99,49,2024-09-03,2024-09,128,East,Consumer,Online,Keyboard,Technology,3,10,0,19500,1950,9600,17550,7950
100,50,2024-01-10,2024-01,120,East,Consumer,Store,Notebook pack,Office Supplies,4,5,0,7200,360,2800,6840,4040
101,50,2024-01-10,2024-01,120,East,Consumer,Store,Chair,Furniture,3,25,0,51000,12750,33000,38250,5250
102,50,2024-01-10,2024-01,120,East,Consumer,Store,Desk,Furniture,4,10,0,112000,11200,76000,100800,24800
103,51,2025-01-28,2025-01,124,Central,Consumer,Online,Keyboard,Technology,5,5,0,32500,1625,16000,30875,14875
104,52,2025-12-17,2025-12,76,West,Consumer,Online,Keyboard,Technology,5,0,0,32500,0,16000,32500,16500
105,52,2025-12-17,2025-12,76,West,Consumer,Online,Monitor,Technology,4,5,0,96000,4800,64000,91200,27200
106,52,2025-12-17,2025-12,76,West,Consumer,Online,Desk,Furniture,2,15,0,56000,8400,38000,47600,9600
107,53,2024-07-13,2024-07,159,South,Consumer,Store,Storage box,Office Supplies,1,5,0,2600,130,1200,2470,1270
108,53,2024-07-13,2024-07,159,South,Consumer,Store,Chair,Furniture,1,15,0,17000,2550,11000,14450,3450
109,53,2024-07-13,2024-07,159,South,Consumer,Store,Desk,Furniture,1,10,0,28000,2800,19000,25200,6200
110,54,2025-03-01,2025-03,45,Central,Consumer,Online,Notebook pack,Office Supplies,3,15,0,5400,810,2100,4590,2490
111,55,2024-10-06,2024-10,43,West,Business,Store,Monitor,Technology,1,10,0,24000,2400,16000,21600,5600
112,55,2024-10-06,2024-10,43,West,Business,Store,Storage box,Office Supplies,2,0,0,5200,0,2400,5200,2800
113,56,2025-11-21,2025-11,102,East,Consumer,Store,Keyboard,Technology,1,5,0,6500,325,3200,6175,2975
114,57,2025-04-10,2025-04,95,West,Consumer,Store,Keyboard,Technology,2,10,1,13000,1300,0,0,0
115,57,2025-04-10,2025-04,95,West,Consumer,Store,Monitor,Technology,5,5,0,120000,6000,80000,114000,34000
116,57,2025-04-10,2025-04,95,West,Consumer,Store,Desk,Furniture,2,0,0,56000,0,38000,56000,18000
117,58,2025-04-20,2025-04,180,Central,Business,Store,Keyboard,Technology,1,0,0,6500,0,3200,6500,3300
118,58,2025-04-20,2025-04,180,Central,Business,Store,Desk,Furniture,4,0,0,112000,0,76000,112000,36000
119,58,2025-04-20,2025-04,180,Central,Business,Store,Chair,Furniture,5,0,0,85000,0,55000,85000,30000
120,59,2025-01-14,2025-01,172,South,Business,Store,Storage box,Office Supplies,1,10,0,2600,260,1200,2340,1140
121,59,2025-01-14,2025-01,172,South,Business,Store,Chair,Furniture,3,0,0,51000,0,33000,51000,18000
122,59,2025-01-14,2025-01,172,South,Business,Store,Keyboard,Technology,2,10,0,13000,1300,6400,11700,5300
123,60,2024-08-29,2024-08,93,South,Business,Online,Monitor,Technology,1,10,0,24000,2400,16000,21600,5600
124,60,2024-08-29,2024-08,93,South,Business,Online,Notebook pack,Office Supplies,1,10,0,1800,180,700,1620,920
125,60,2024-08-29,2024-08,93,South,Business,Online,Storage box,Office Supplies,2,15,0,5200,780,2400,4420,2020
126,61,2024-02-21,2024-02,86,West,Business,Online,Notebook pack,Office Supplies,2,0,0,3600,0,1400,3600,2200
127,62,2025-07-21,2025-07,54,Central,Consumer,Online,Monitor,Technology,2,15,1,48000,7200,0,0,0
128,63,2024-05-28,2024-05,34,West,Business,Store,Desk,Furniture,1,0,1,28000,0,0,0,0
129,64,2024-08-31,2024-08,151,East,Consumer,Store,Chair,Furniture,3,0,0,51000,0,33000,51000,18000
130,65,2025-03-07,2025-03,135,South,Business,Online,Desk,Furniture,3,0,0,84000,0,57000,84000,27000
131,65,2025-03-07,2025-03,135,South,Business,Online,Keyboard,Technology,2,15,1,13000,1950,0,0,0
132,65,2025-03-07,2025-03,135,South,Business,Online,Notebook pack,Office Supplies,5,5,0,9000,450,3500,8550,5050
133,66,2024-02-01,2024-02,16,South,Consumer,Store,Keyboard,Technology,4,10,0,26000,2600,12800,23400,10600
134,66,2024-02-01,2024-02,16,South,Consumer,Store,Desk,Furniture,1,15,0,28000,4200,19000,23800,4800
135,67,2024-03-08,2024-03,33,South,Business,Store,Storage box,Office Supplies,4,15,0,10400,1560,4800,8840,4040
136,67,2024-03-08,2024-03,33,South,Business,Store,Notebook pack,Office Supplies,4,15,0,7200,1080,2800,6120,3320
137,67,2024-03-08,2024-03,33,South,Business,Store,Monitor,Technology,1,0,0,24000,0,16000,24000,8000
138,68,2025-10-28,2025-10,197,South,Business,Online,Keyboard,Technology,4,5,0,26000,1300,12800,24700,11900
139,68,2025-10-28,2025-10,197,South,Business,Online,Chair,Furniture,4,25,0,68000,17000,44000,51000,7000
140,69,2024-11-16,2024-11,110,South,Business,Store,Monitor,Technology,4,0,0,96000,0,64000,96000,32000
141,69,2024-11-16,2024-11,110,South,Business,Store,Storage box,Office Supplies,1,0,0,2600,0,1200,2600,1400
142,69,2024-11-16,2024-11,110,South,Business,Store,Chair,Furniture,3,0,0,51000,0,33000,51000,18000
143,70,2025-08-23,2025-08,144,East,Consumer,Store,Desk,Furniture,4,0,0,112000,0,76000,112000,36000
144,70,2025-08-23,2025-08,144,East,Consumer,Store,Keyboard,Technology,5,5,0,32500,1625,16000,30875,14875
145,70,2025-08-23,2025-08,144,East,Consumer,Store,Monitor,Technology,5,15,0,120000,18000,80000,102000,22000
146,71,2025-11-03,2025-11,124,Central,Consumer,Online,Monitor,Technology,5,5,0,120000,6000,80000,114000,34000
147,72,2024-10-12,2024-10,147,Central,Consumer,Online,Notebook pack,Office Supplies,5,15,1,9000,1350,0,0,0
148,72,2024-10-12,2024-10,147,Central,Consumer,Online,Storage box,Office Supplies,3,0,0,7800,0,3600,7800,4200
149,73,2025-12-20,2025-12,196,Central,Consumer,Store,Monitor,Technology,2,0,0,48000,0,32000,48000,16000
150,73,2025-12-20,2025-12,196,Central,Consumer,Store,Desk,Furniture,4,0,0,112000,0,76000,112000,36000
151,74,2025-10-10,2025-10,8,East,Consumer,Online,Notebook pack,Office Supplies,4,10,0,7200,720,2800,6480,3680
152,74,2025-10-10,2025-10,8,East,Consumer,Online,Chair,Furniture,3,10,0,51000,5100,33000,45900,12900
153,74,2025-10-10,2025-10,8,East,Consumer,Online,Keyboard,Technology,5,15,0,32500,4875,16000,27625,11625
154,75,2024-02-23,2024-02,40,South,Business,Online,Desk,Furniture,4,25,0,112000,28000,76000,84000,8000
155,75,2024-02-23,2024-02,40,South,Business,Online,Storage box,Office Supplies,4,10,0,10400,1040,4800,9360,4560
156,75,2024-02-23,2024-02,40,South,Business,Online,Monitor,Technology,5,0,0,120000,0,80000,120000,40000
157,76,2024-04-23,2024-04,73,South,Business,Store,Storage box,Office Supplies,2,10,0,5200,520,2400,4680,2280
158,76,2024-04-23,2024-04,73,South,Business,Store,Monitor,Technology,1,0,0,24000,0,16000,24000,8000
159,76,2024-04-23,2024-04,73,South,Business,Store,Desk,Furniture,2,0,0,56000,0,38000,56000,18000
160,77,2024-10-23,2024-10,84,South,Consumer,Online,Keyboard,Technology,4,0,0,26000,0,12800,26000,13200
161,78,2025-06-29,2025-06,181,South,Consumer,Online,Notebook pack,Office Supplies,4,0,0,7200,0,2800,7200,4400
162,78,2025-06-29,2025-06,181,South,Consumer,Online,Monitor,Technology,4,0,0,96000,0,64000,96000,32000
163,78,2025-06-29,2025-06,181,South,Consumer,Online,Desk,Furniture,5,25,0,140000,35000,95000,105000,10000
164,79,2025-12-27,2025-12,164,West,Business,Store,Desk,Furniture,1,15,0,28000,4200,19000,23800,4800
165,79,2025-12-27,2025-12,164,West,Business,Store,Keyboard,Technology,5,10,0,32500,3250,16000,29250,13250
166,80,2025-01-05,2025-01,23,East,Consumer,Store,Chair,Furniture,4,25,0,68000,17000,44000,51000,7000
167,81,2025-02-09,2025-02,80,East,Consumer,Store,Monitor,Technology,2,0,0,48000,0,32000,48000,16000
168,82,2024-04-26,2024-04,136,East,Business,Online,Monitor,Technology,2,0,0,48000,0,32000,48000,16000
169,82,2024-04-26,2024-04,136,East,Business,Online,Chair,Furniture,2,0,0,34000,0,22000,34000,12000
170,83,2025-11-02,2025-11,20,South,Consumer,Online,Keyboard,Technology,5,15,0,32500,4875,16000,27625,11625
171,83,2025-11-02,2025-11,20,South,Consumer,Online,Storage box,Office Supplies,3,0,0,7800,0,3600,7800,4200
172,83,2025-11-02,2025-11,20,South,Consumer,Online,Notebook pack,Office Supplies,4,10,0,7200,720,2800,6480,3680
173,84,2024-10-08,2024-10,152,East,Business,Online,Notebook pack,Office Supplies,3,10,0,5400,540,2100,4860,2760
174,84,2024-10-08,2024-10,152,East,Business,Online,Desk,Furniture,1,15,0,28000,4200,19000,23800,4800
175,85,2024-03-19,2024-03,166,South,Consumer,Online,Notebook pack,Office Supplies,4,15,0,7200,1080,2800,6120,3320
176,85,2024-03-19,2024-03,166,South,Consumer,Online,Storage box,Office Supplies,1,10,0,2600,260,1200,2340,1140
177,85,2024-03-19,2024-03,166,South,Consumer,Online,Keyboard,Technology,5,0,0,32500,0,16000,32500,16500
178,86,2025-05-02,2025-05,129,South,Consumer,Online,Keyboard,Technology,1,5,0,6500,325,3200,6175,2975
179,87,2024-03-27,2024-03,130,East,Consumer,Online,Chair,Furniture,4,35,0,68000,23800,44000,44200,200
180,88,2025-09-16,2025-09,41,South,Consumer,Store,Monitor,Technology,4,5,0,96000,4800,64000,91200,27200
181,88,2025-09-16,2025-09,41,South,Consumer,Store,Keyboard,Technology,1,5,0,6500,325,3200,6175,2975
182,89,2024-04-06,2024-04,143,South,Business,Store,Monitor,Technology,2,5,0,48000,2400,32000,45600,13600
183,89,2024-04-06,2024-04,143,South,Business,Store,Notebook pack,Office Supplies,2,5,0,3600,180,1400,3420,2020
184,90,2025-11-02,2025-11,179,East,Business,Store,Notebook pack,Office Supplies,1,5,0,1800,90,700,1710,1010
185,91,2025-10-20,2025-10,85,West,Business,Online,Storage box,Office Supplies,4,15,0,10400,1560,4800,8840,4040
186,91,2025-10-20,2025-10,85,West,Business,Online,Notebook pack,Office Supplies,3,5,0,5400,270,2100,5130,3030
187,91,2025-10-20,2025-10,85,West,Business,Online,Desk,Furniture,2,15,0,56000,8400,38000,47600,9600
188,92,2025-05-12,2025-05,50,East,Business,Online,Chair,Furniture,1,10,0,17000,1700,11000,15300,4300
189,93,2024-04-13,2024-04,130,East,Consumer,Online,Monitor,Technology,5,10,0,120000,12000,80000,108000,28000
190,93,2024-04-13,2024-04,130,East,Consumer,Online,Notebook pack,Office Supplies,2,15,0,3600,540,1400,3060,1660
191,93,2024-04-13,2024-04,130,East,Consumer,Online,Chair,Furniture,2,35,1,34000,11900,0,0,0
192,94,2025-01-08,2025-01,174,Central,Business,Online,Notebook pack,Office Supplies,4,0,0,7200,0,2800,7200,4400
193,94,2025-01-08,2025-01,174,Central,Business,Online,Monitor,Technology,3,10,0,72000,7200,48000,64800,16800
194,95,2024-07-17,2024-07,95,West,Consumer,Store,Monitor,Technology,5,15,0,120000,18000,80000,102000,22000
195,95,2024-07-17,2024-07,95,West,Consumer,Store,Keyboard,Technology,2,0,0,13000,0,6400,13000,6600
196,96,2024-05-21,2024-05,65,West,Consumer,Online,Keyboard,Technology,5,0,0,32500,0,16000,32500,16500
197,96,2024-05-21,2024-05,65,West,Consumer,Online,Monitor,Technology,2,5,0,48000,2400,32000,45600,13600
198,96,2024-05-21,2024-05,65,West,Consumer,Online,Desk,Furniture,5,0,0,140000,0,95000,140000,45000
199,97,2024-04-03,2024-04,57,East,Business,Store,Desk,Furniture,1,25,0,28000,7000,19000,21000,2000
200,97,2024-04-03,2024-04,57,East,Business,Store,Keyboard,Technology,2,10,0,13000,1300,6400,11700,5300
201,98,2025-01-18,2025-01,58,West,Consumer,Online,Desk,Furniture,2,0,1,56000,0,0,0,0
202,98,2025-01-18,2025-01,58,West,Consumer,Online,Monitor,Technology,4,0,0,96000,0,64000,96000,32000
